index	biography	name	fullName
660	BRUCE, MISS (b. c.1715)	BRUCE, MISS	Miss Bruce
661	BRUCE	BRUCE	Bruce
662	BRUDENELL, GEORGE BRUDENELL, LORD (1685-1732), e. s. of Francis, Ld. Brudenell; sty. Ld. Brudenell 1698-1703 when suc. gd.-fa. as 3rd E. of Cardigan; m. 1707 Ldy. Elizabeth Bruce, dau. of 2nd E. of Ailesbury.	BRUDENELL, GEORGE BRUDENELL, LORD	George Brudenell, Lord Brudenell
663	BRUDENELL, HON. JAMES (c.1687-1746), 2nd. s. of Francis, Ld. Brudenell; MP 1713-46; ld. of Trade 1730-d.; m. Susan Burton; see George, Lord Brudenell.	BRUDENELL, HON. JAMES	Hon. James Brudenell
664	BRUDENELL, JOHN MONTAGU, LORD (1735- 70), o. s. of 4th E. of Cardigan (cr. D. of Montagu 1766); educ. Eton; MP 1761-2; sty. Ld. Brudenell -1762 when cr. B. Montagu of Boughton; sty. M. of Monthermer 1766; Dilettanti 1764; unm.	BRUDENELL, JOHN MONTAGU, LORD	John Montagu, Lord Brudenell
665	BRUDENELL, ROBERT	BRUDENELL, ROBERT	Robert Brudenell
666	BRUMMEL, possibly William Brummell, 1766-1853; Oriel Oxf. 1794; m. 1799.	BRUMMEL, possibly William Brummell, 1766-1853	Brummel
667	BRUYERS, CAPT., see Charles Anderson Pelham	BRUYERS, CAPT.	Capt. Bruyers
668	BRYAN, MR and MRS	BRYAN, MR and MRS	Mr And Mrs Bryan
669	BRYCE	BRYCE	Bryce
670	BRYDONE, PATRICK (1736-1818), traveller and scientist, s. of Robert Brydone of Coldingham, Ber.; spent much time in Switzerland 1765-79; FRS, FSA; m. by 1786 Mary Robertson.	BRYDONE, PATRICK	Patrick Brydone
671	BUBB DODINGTON, see Dodington	BUBB DODINGTON	Bubb Dodington
672	BUCCLEUCH, 2ND DUKE OF, see Francis, Earl of Dalkeith	BUCCLEUCH, 2ND DUKE OF	2nd Duke Of Buccleuch
673	BUCCLEUCH, HENRY SCOTT, 3RD DUKE OF (1746-1812), 1st surv. s. of Francis, E. of Dalkeith [S]; suc. gd.-fa. 1751 as 3rd D. of Buccleuch [S]; educ. Eton; Dilettanti 1767; m. 1767 Ldy. Elizabeth Montagu, dau. of 1st D. of Montagu; KT 1767; KG 1794; suc. cos. 1810 as 5th D. of Queensberry [S].	BUCCLEUCH, HENRY SCOTT, 3RD DUKE OF	Henry Scott, 3rd Duke Of Buccleuch
674	BUCCLEUCH, 4TH DUKE OF, see Charles, Earl of Dalkeith	BUCCLEUCH, 4TH DUKE OF	4th Duke Of Buccleuch
675	BUCHANAN, MRS	BUCHANAN, MRS	Mrs Buchanan
676	BUCHANAN	BUCHANAN	Buchanan
677	BUCKHOLM	BUCKHOLM	Buckholm
678	BUCKINGHAM, 1ST MARQUESS OF, see George Grenville	BUCKINGHAM, 1ST MARQUESS OF	1st Marquess Of Buckingham
679	BUCKINGHAM, EDMUND SHEFFIELD, 2ND DUKE OF (1716-1735), only surv. s. of 1st D. of Buckingham; sty. M. of Normanby -1721 when suc. fa. as 2nd D.; Queen's Oxf. 1732; ADC to D. of Berwick, his uncle, at Fort Kiel and Philippsburg 1734; unm.; d. Rome.	BUCKINGHAM, EDMUND SHEFFIELD, 2ND DUKE OF	Edmund Sheffield, 2nd Duke Of Buckingham
680	BUCKINGHAM, KATHERINE (DARNLEY), DUCHESS OF (c.1682-1743), illeg. dau. of James II by Katherine Sedley, suo jure Cts. of Dorchester; m. 1 1699 3rd E. of Anglesey (d. 1701), 2 1706, as his 3rd w., 1st D. of Buckingham (d. 1721).	BUCKINGHAM, KATHERINE	Katherine Buckingham
681	BUCKINGHAM, OWEN (1674-1720), 2nd but 1st surv. s. of Sir Owen Buckingham of Moulsford, Berks, Ld. Mayor of London 1704-5; suc. fa. 1713; MP 1708-1713, 1716-20; unm.	BUCKINGHAM, OWEN	Owen Buckingham
682	BUCKINGHAMSHIRE, 2ND EARL OF, see Hon. John Hobart	BUCKINGHAMSHIRE, 2ND EARL OF	2nd Earl Of Buckinghamshire
683	BUCKINGHAMSHIRE, 3RD EARL OF, see Hon. George Hobart	BUCKINGHAMSHIRE, 3RD EARL OF	3rd Earl Of Buckinghamshire
684	BUCKLEY, EDWARD	BUCKLEY, EDWARD	Edward Buckley
685	BUCKWORTH, SIR JOHN, 2ND BT. (1700- 58), e. s. of Sir John Buckworth of London and West Sheen, Surr.; suc. fa. 1709 as 2nd Bt.; educ. Eton; army officer, lt. and capt. 1 Ft. Gds. 1718; m. after 1741 Mary Jane Clermont; MP 1734-41.	BUCKWORTH, SIR JOHN, 2ND BT.	Sir John, 2nd Bt. Buckworth
686	BULFINCH, CHARLES (1763-1844), architect, s. of Thomas Bulfinch of Boston, Mass.; Harvard coll.1781; in Washington 1818-30; worked principally in Boston.	BULFINCH, CHARLES	Charles Bulfinch
687	BULKELEY, RICHARD BULKELEY, 5TH VISCOUNT (1707-39), 1st s. of 4th Vct. Bulkeley [I] of Beaumaris, Anglesey; educ. Westminster; suc. fa. 1724 as 5th Vct.; m. 1732 Jane Owen; MP 1730-9.	BULKELEY, RICHARD BULKELEY, 5TH VISCOUNT	Richard Bulkeley, 5th Viscount Bulkeley
688	BULKELEY, THOMAS JAMES BULKELEY, 7TH VISCOUNT (1752-1822), posth. s. and h. of 6th Vct. Bulkeley [I] of Beaumaris, Anglesey; educ. Westminster and Jesus Oxf. 1769; m. 1777 Elizabeth Harriet Warren (c.1760-1826); MP 1774-1784; cr. B. Bulkeley 1784; took name of Warren-Bulkeley 1802.	BULKELEY, THOMAS JAMES BULKELEY, 7TH VISCOUNT	Thomas James Bulkeley, 7th Viscount Bulkeley
689	BULLER, JAMES (1766-1827), e. s. of James Buller of Downes House, Crediton, Devon, and Shillingham, Corn.; suc. fa. 1772; Magd. Oxf. 1783; m. 1791, his cos. Anne Buller.	BULLER, JAMES	James Buller
690	BULLER, MRS, probably Mary Coxe Buller, c.1744-1812, 2nd dau. and co-h. of John Hippisley Coxe; m. 1770 James Buller.	BULLER, MRS, probably Mary Coxe Buller, c.1744-1812, 2nd dau. and co-h. of John Hippisley Coxe	Mrs Buller
691	BULSTRODE, see George, Lord Shrewsbury	BULSTRODE	Bulstrode
692	BULSTRODE	BULSTRODE	Bulstrode
693	BUNBURY, HENRY WILLIAM (1750-1811), caricaturist, 2nd surv. s. of Rev. Sir William Bunbury, 5th Bt. of Barton, Suff. and Bunbury, Ches.; in Paris 1767; St Catharine's Hall Camb. 1768; m. 1771 Catherine Horneck; exh. RA 1770-1808.	BUNBURY, HENRY WILLIAM	Henry William Bunbury
694	BUNBURY, THOMAS CHARLES (1740- 1821), e. s. of Rev. Sir William Bunbury of Barton, Suff., and Bunbury, Ches.; educ. Westminster and St Catharine's Hall Camb. 1757; m. 1 1762 Ldy. Sarah Lennox, dau. of 2nd D. of Richmond (div. 1776), 2 Margaret Cocksedge; suc. fa. 1764 as 6th Bt.; MP 1761-84, 1790-1812.	BUNBURY, THOMAS CHARLES	Thomas Charles Bunbury
695	BUNCE, SAMUEL (?1765-1802), architect; pupil of James Wyatt -1788; exh. RA 1786-8; architect to the Admiralty 1796-1802.	BUNCE, SAMUEL	Samuel Bunce
696	BUNION, see Maj. Clark	BUNION	Bunion
697	BUNTING, LOUIS, see Samuel Gardner	BUNTING, LOUIS	Louis Bunting
698	BURDETT, FRANCIS (1770-1844), 1st. surv. s. of Francis Burdett, of Castle Hill, Mx.; educ. Westminster and Ch.Ch. Oxf. 1785; m. 1793 Sophia Coutts; MP 1796-1844; suc. gd.-fa. 1797 as 5th Bt.	BURDETT, FRANCIS	Francis Burdett
699	BURDON, ROWLAND (c.1757-1838) of Castle Eden, Durham, o. s. of Rowland Burdon, merchant and banker of Newcastle; Univ.Coll. Oxf. 1773; m. 1 1780 Margaret Brandling (d. 1791), 2 1794 Cotsford Mathews; suc. fa. 1786; MP 1790-1806.	BURDON, ROWLAND	Rowland Burdon
700	BURFORD, CHARLES BEAUCLERK, EARL OF (1696-1751), e. s. of 1st. D. of St Albans (the illeg. s. of Charles II); sty. E. of Burford -1726 when suc. fa. as 2nd D.; educ. Eton and New Coll. Oxf. 1714; MP 1718-26; m. 1722 Lucy Werden; KB 1725; KG 1741.	BURFORD, CHARLES BEAUCLERK, EARL OF	Charles Beauclerk, Earl Of Burford
701	BURFORD, TOM	BURFORD, TOM	Tom Burford
702	BURGES, COL. ELIZEUS (d. 1736), diplomat, possibly the Elizeus Burges appt. gov. in New England 1715; res. Venice 1719-22 and 1727-36; d. Venice.	BURGES, COL. ELIZEUS	Col. Elizeus Burges
703	BURGES, JAMES BLAND (1752-1824), politician and occasional writer, o. s. of George Burges of Berks; educ. Westminster, Edinburgh U. 1765, and Univ.Coll. Oxf. 1770; L.Inn 1769, called 1777; m. 1 1777 Hon. Elizabeth Noel (d. 1779), dau. of 1st Vct. Wentworth, 2 1780 Anne Montolieu (d. 1810), dau. of B. de St Hypolite, 3 1812 Ldy. Margaret Lindsay, dau. of 5th E. of Balcarres [S], wid. of Alexander Fordyce; cr. Bt. 1795; suc. John Lamb and took name of Lamb 1821; MP 1787-90.	BURGES, JAMES BLAND	James Bland Burges
704	BURGES, MICHAEL (c.1718-68), capt. in the Tuscan Navy, s. of William Burges of Norwich; m. Ann Roberts of Deal, Kent (d. Leghorn 1793; Leghorn Inscr., 58).	BURGES, MICHAEL	Michael Burges
705	BURGOYNE, JOHN (1723-92), soldier and playwright; 2nd s. of Capt. John Burgoyne; educ. Westminster; m. 1743 Ldy. Charlotte Stanley (d. 1776), dau. of 11th E. of Derby; 1780 took as mistress Susan Caulfield; army officer, cornet 1744, capt. 1745, sold out 1751-6, capt. 11 Drag. 1756, lt.-gen. 1777; surrendered to American forces at Saratoga 1777; MP 1761-92.	BURGOYNE, JOHN	John Burgoyne
706	BURK	BURK	Burk
707	BURLINGTON, RICHARD BOYLE, 3RD EARL OF (1694-1753), architect and patron; e. s. of Charles, 3rd E. of Cork [I], 2nd E. of Burlington; suc. fa. 1704; m. 1721 Ldy. Dorothy Saville, dau. of 2nd M. of Halifax; FRS 1722; FSA 1724; KG 1730.	BURLINGTON, RICHARD BOYLE, 3RD EARL OF	Richard Boyle, 3rd Earl Of Burlington
708	BURLINGTON, 1ST EARL OF, see Lord George Cavendish	BURLINGTON, 1ST EARL OF	1st Earl Of Burlington
709	BURN	BURN	Burn
710	BURNABY, REV. ANDREW (c.1734-1812), e. s. of Rev. Andrew Burnaby of Brampton Manor House, Hunts; Queens' Camb., BA 1754, MA 1757 and prof. of Sacred Theology 1776; in N. America 1759-60; vic. of Greenwich 1769; m. 1770 Anna Edwyn; Archdeacon of Leicester 1786.	BURNABY, REV. ANDREW	Rev. Andrew Burnaby
711	BURNABY	BURNABY	Burnaby
712	BURNET, SIR THOMAS (1694-1753), judge and author; 3rd s. of Gilbert Burnet, Bp. of Salisbury; Merton Oxf.; Leiden U. 1706; M.Temple 1709; called 1715; consul at Lisbon; agent and consul-gen. in Madeira, 1719; Kt. 1745.	BURNET, SIR THOMAS	Sir Thomas Burnet
713	BURNEY, DR CHARLES (1726-1814), musicologist, yr. s. of James Burney; Mus.D. Oxf. 1769; m. 1 1749 Esther Sleepe (d. 1761), 2 1767 Mrs Stephen Allen; FRS 1773; Dilettanti 1806.	BURNEY, DR CHARLES	Dr Charles Burney
714	BURROWS, JOHN, cons. Leghorn 1701-5	BURROWS, JOHN, cons. Leghorn 1701-5	John Burrows
715	BURSLEM, CAPT. NATHANIEL, see Dr John Bruce	BURSLEM, CAPT. NATHANIEL	Capt. Nathaniel Burslem
716	BURT, probably John Heyliger Burt (d. 1817) of Colton House, Lichfield, s. of Charles Pym Burt, of St Christopher, W.Indies; JP; half-bro. of Rev. Robert Burt, c.1725-91, who m. 1786 Sarah Gascoyne of Sunbury, Mx.	BURT, probably John Heyliger Burt	Burt
717	BURTON, probably Hon. Francis Nathaniel [Conyngham] (1766-1832), 2nd s. of Francis Pierpoint Burton, 2nd B. Conyngham [I].	BURTON, probably Hon. Francis Nathaniel [Conyngham]	Burton
718	BURTON, FRANCIS PIERPOINT (d. 1787), e. s. of Francis Burton of Buncraggy, co. Clare; m. 1750 Elizabeth Clements; MP [I] 1753-60, 1761-76; suc. uncle 1781 as 2nd B. Conyngham [I] and took surname Conyngham.	BURTON, FRANCIS PIERPOINT	Francis Pierpoint Burton
719	BURTON, JOHN (1730-82), harpsichordist.	BURTON, JOHN	John Burton
720	BURTON, SAMUEL, e. s. of Benjamin Burton of Burton Hall, Dublin; m. 1 1708 Anne Campbell (d.1714), 2 Mary Hinde; MP [I] 1713, 1727.	BURTON, SAMUEL, e. s. of Benjamin Burton of Burton Hall, Dublin	Samuel Burton
721	BURTON, WILLIAM (1733-96), 2nd. s. of Francis Burton of Buncraggy, co. Clare; 1781 took name of Conyngham (see Francis Pierpoint Burton); MP [I] from 1761; travelled in Spain and Portugal; unm.	BURTON, WILLIAM	William Burton
722	BURY, CHARLES WILLIAM (1764-1835), o. s. of John Bury of Charleville Forest, King's Co., Ireland; Trin. Dublin 1785; MP [I] 1789-97; Dilettanti 1790; m. 1798 Catherine Maria Dawson, wid. of James Tisdall; cr. B. Tullamore [I] 1797, Vct. Charleville [I] 1800, and E. of Charleville [I] 1806; FRS 1803; PRIA 1812-22; FSA 1814.	BURY, CHARLES WILLIAM	Charles William Bury
723	BURY, MRS	BURY, MRS	Mrs Bury
724	BUTCHER	BUTCHER	Butcher
725	BUTE, JOHN STUART, 3RD EARL OF (1713- 92), statesman, e. s. of 2nd E. of Bute [S]; suc. fa. 1723 as 3rd E.; educ. Eton; m. 1736 Mary Wortley Montagu; KT 1738; KG 1762; Prime Minister 1762-3; BM Trustee 1765-92; Pres. SA 1780-92.	BUTE, JOHN STUART, 3RD EARL OF	John Stuart, 3rd Earl Of Bute
726	BUTE, 1ST MARQUESS OF, see John, Viscount Mountstuart	BUTE, 1ST MARQUESS OF	1st Marquess Of Bute
727	BUTLER, ALBAN (1710-73), Jesuit priest, 2nd s. of Simon Butler of Appletree, Northants; educ. Douai 1719-; ord. and prof. by 1735; chapl. to the D. of Norfolk; author of The Lives of the Saints [1756-9].	BUTLER, ALBAN	Alban Butler
728	BUTLER, HON. BRINSLEY (1728-79), o. s. of 1st E. of Lanesborough [I]; Trin. Dublin 1745, LLD 1754; MP [I] 1751-68; m. 1754 Ldy. Jane Rochfort, dau. of 1st E. of Belvidere [I] (see also John King c.1753-1823); sty. Ld. Newtown-Butler 1756-68 when suc. fa. as 2nd E.	BUTLER, HON. BRINSLEY	Hon. Brinsley Butler
729	BUTLER, CHRISTOPHER	BUTLER, CHRISTOPHER	Christopher Butler
730	BUTLER, JAMES (d. Rome 1774) and his son	BUTLER, JAMES	James Butler
731	BUTLER, JOHN	BUTLER, JOHN	John Butler
732	BUTLER, LT. HON. PIERCE (1774-1846), 4th s. of 11th Vct. Mountgarret; m. 1800 Anne March see Maj. Robert Browne	BUTLER, LT. HON. PIERCE	Lt. Hon. Pierce Butler
733	BUTLER, RICHARD	BUTLER, RICHARD	Richard Butler
734	BUTLER, ROBERT, see Patrick ffrench	BUTLER, ROBERT	Robert Butler
735	BUTLER, THOMAS HAMLY (1762-1823), composer, s. of John Butler, prof. of music in London; chorister of the Chapel Royal under Dr Nares; taught in Edinburgh.	BUTLER, THOMAS HAMLY	Thomas Hamly Butler
736	BUTLER, ABBÉ	BUTLER, ABB	Abb Butler
737	BUTLER	BUTLER	Butler
738	BUTTON, painter.	BUTTON, painter.	Button
739	BUXTON	BUXTON	Buxton
740	BYDE, THOMAS PLUMER (c.1721-89), s. of Thomas Byde of Ware Park, Herts; educ. Westminster and Pembroke Camb. 1738; L.Inn 1740; G.Inn 1747; m. c.1750 Eleanor Hope; MP 1761-8; d. Naples.	BYDE, THOMAS PLUMER	Thomas Plumer Byde
741	BYNG, SIR GEORGE, 1ST BT. (1664-1733), Admiral, of Southill, Beds; e. s. of John Byng of Wrotham, Kent; m. 1691 Margaret Master; Kt. 1704; MP 1705-21; cr. Bt. 1715 and Vct. Torrington 1721; adml. of the fleet 1718; KB 1725.	BYNG, SIR GEORGE, 1ST BT.	Sir George, 1st Bt. Byng
742	BYNG, GEORGE (1701-50), 3rd s. of Adml.Sir George Byng; army officer, cornet R.Hse Gds 1716, capt. 3rd Ft. 1721, maj.gen. 1747; m. 1736 Elizabeth Daniel; suc. bro. 1747 as 3rd Vct. Torrington.	BYNG, GEORGE	George Byng
743	BYNG, JOHN (1739-64), b. in Barbados; 3rd s. of Robert Byng; educ. Westminster and Trin. Camb. 1757; d. Bologna.	BYNG, JOHN	John Byng
744	BYNG, PATTEE (1699-1747), 1st surv. s. of Adml. Sir George Byng; army officer, cornet, R. Hse.Gds. 1715, capt. 1716-18; treas. of the navy 1724-34; MP 1721-33; m. 1724 Ldy. Charlotte Montagu, dau. of 1st D. of Manchester; suc. fa. 1733 as 2nd Vct. Torrington.	BYNG, PATTEE	Pattee Byng
745	BYNG, ROBERT (1703-40), 4th s. of Adml.Sir George Byng; MP 1728-39; m. 1734 Elizabeth Forward; 1739 gov. of Barbados, where he d.; see George Byng and Pattee Byng.	BYNG, ROBERT	Robert Byng
746	BYRES, ISABELLA (1737-after 1781), dau. of Patrick Byres, sis. of the antiquarian James Byres; m. Robert Sandilands (d. 1775).	BYRES, ISABELLA	Isabella Byres
747	BYRES, JAMES (1734-1817), antiquarian, s. of Patrick Byres of Tonley, Aber.; left Scotland in 1745; educ. in France.	BYRES, JAMES	James Byres
748	BYRES, PATRICK (b.1713 d. before 1790); m. 1733 Janet Moir (d. 1787); fought in the 1745 rebellion and escaped to France 1746; returned to Scotland 1756.	BYRES, PATRICK	Patrick Byres
749	BYRNE	BYRNE	Byrne
750	BYRON, REV. JOHN (c.1745-70), s. of Joshua Byron of Lincs; St John's Camb., BA 1763, fell. 1768; ord.1769; d. Leghorn.	BYRON, REV. JOHN	Rev. John Byron
751	CADDAN, JAMES, picture restorer of Bristol.	CADDAN, JAMES, picture restorer of Bristol.	James Caddan
752	CADOGAN, CHARLES SLOANE, presumably one of the six s. of the Hon. Charles Sloane Cadogan (1728-1807) by his 1st w. Frances Bromley (d. 1768).	CADOGAN, CHARLES SLOANE, presumably one of the six s. of the Hon. Charles Sloane Cadogan	Charles Sloane Cadogan
753	CADOGAN, MRS MARY (d. 1810), dau. of - Kidd, a shepherd of Hawarden, Flint.; m. Henry Lyon of Neston, Ches. (d. 1765); c.1785 changed name to Mrs. Cadogan; mother of Emy Lyon, alias Emma Hart, afterwards Ldy. Hamilton.	CADOGAN, MRS MARY	Mrs Mary Cadogan
754	CAGNONI, MRS	CAGNONI, MRS	Mrs Cagnoni
755	CAILER, JOHN DANIEL, merchant.	CAILER, JOHN DANIEL, merchant.	John Daniel Cailer
756	CAIN, WILLIAM (c.1719-78)	CAIN, WILLIAM	William Cain
757	CAIRE, DUDLEY, JOHN, JOSEPH and PETER	CAIRE, DUDLEY, JOHN, JOSEPH and PETER	Dudley, John Caire
758	CALDER, see Edwin 1724	CALDER	Calder
759	CALDERWOOD, ALEXANDER, 2nd s. of Sir William Calderwood, Kt., of Dalkeith and Polton.	CALDERWOOD, ALEXANDER, 2nd s. of Sir William Calderwood, Kt., of Dalkeith and Polton.	Alexander Calderwood
760	CALDERWOOD, THOMAS (d. 1773), 1st s. of Sir William Calderwood, Kt., of Dalkeith and Polton; m. 1735 Margaret Steuart.	CALDERWOOD, THOMAS	Thomas Calderwood
761	CALDWELL, SIR JAMES, (c.1720-84), e. s. of Sir John Caldwell of Castle Caldwell, Ferm.; educ. Dundalk and Trin. Dublin 1737; suc. fa. c.1744 as 4th Bt.; cr. C. of Milan 1749; m. 1753 Elizabeth Hort; FRS 1753.	CALDWELL, SIR JAMES,	Sir James Caldwell
762	CALEDON, 1ST EARL, see James Alexander	CALEDON, 1ST EARL	1st Earl Caledon
763	CALENDER, EDWARD	CALENDER, EDWARD	Edward Calender
764	CALLAHAN, CAPT. EDWARD, m. before 1728 the sis. of Sir Edward Gascoigne, 6th Bt.	CALLAHAN, CAPT. EDWARD, m. before 1728 the sis. of Sir Edward Gascoigne, 6th Bt.	Capt. Edward Callahan
765	CALTHORPE [?] probably James Calthorpe, 1699-1784, e. s. of Christopher Calthorpe of Ampton, Suff.; Christ's Camb. 1717; MP 1758-61; grand tour in France and Italy (Commons 2, 2:176).	CALTHORPE [	Calthorpe [
766	CALVERT, HON. BENEDICT LEONARD (c.1701- 32), 2nd s. of 4th B. Baltimore [I]; Ch.Ch. Oxf. 1716; gov. of Maryland 1727-31.	CALVERT, HON. BENEDICT LEONARD	Hon. Benedict Leonard Calvert
767	CALVERT, SIR WILLIAM (c.1703-61) of Mount Mascal, Kent, 3rd s. of William Calvert of Furneaux Pelham, Herts; Emmanuel Camb. 1722, fell. 1728, incorp. at Oxford 1729; m. 1732 Martha Smith; MP 1742-61; Kt. 1744; Ld. Mayor of London 1748-9.	CALVERT, SIR WILLIAM	Sir William Calvert
768	CAMELFORD, 1ST BARON, see Thomas Pitt (1737-93)	CAMELFORD, 1ST BARON	1st Baron Camelford
769	CAMERON, ALLAN (d. before 1732), Jacobite; to France after the '15; in 1732 described as 'late master of the horse to the Pretender & Brother to [Donald] Cameron of Lochiel [1695?-1748] in Lochaber; m.	CAMERON, ALLAN	Allan Cameron
770	CAMERON, CHARLES (1743-1812), architect, s. of Walter Cameron, carpenter in London; apprenticed to his father 1760 and pupil of Isaac Ware c.1763-6; author of Baths of the Romans [1772]; architect to Catherine the Great and her son Gr. D. Paul of Russia, 1779-96, and to Tsar Alexander I 1802-d.; d. St Petersburg.	CAMERON, CHARLES	Charles Cameron
771	CAMERON, EWEN	CAMERON, EWEN	Ewen Cameron
772	CAMERON, JEANIE (c.1700-72), Jacobite; out in 1715; m. --O'Neal from whom div.	CAMERON, JEANIE	Jeanie Cameron
773	CAMERON, MARGARET, see Allan Cameron	CAMERON, MARGARET	Margaret Cameron
774	CAMERON, COL.	CAMERON, COL.	Col. Cameron
775	CAMERON	CAMERON	Cameron
776	CAMFIELD, JOHN, merchant.	CAMFIELD, JOHN, merchant.	John Camfield
777	CAMPBELL, CAROLINE (1764-89), dau. of Ld. William Campbell; see Anne Damer.	CAMPBELL, CAROLINE	Caroline Campbell
778	CAMPBELL, BRIG. COLIN, of Ormadale.	CAMPBELL, BRIG. COLIN, of Ormadale.	Brig. Colin Campbell
779	CAMPBELL, BRIG. COLIN, of Glendarule, cos. of Brig. Colin Campbell of Ormadale; in France 1717-18.	CAMPBELL, BRIG. COLIN, of Glendarule, cos. of Brig. Colin Campbell of Ormadale	Brig. Colin Campbell
780	CAMPBELL, DONALD	CAMPBELL, DONALD	Donald Campbell
781	CAMPBELL, ABBÉ HENRY (c.1752-1830), from Cork; chapl. to the Neapolitan ambassador in London.	CAMPBELL, ABB	Abb Campbell
782	CAMPBELL, COL. JOHN (1755-1821), e. s. of Pryse Campbell of Cawdor, Nairn, and Stackpole Court, Pemb; educ. Eton and Clare Camb. 1772; MP 1777-96; m. 1789 Ldy. Isabella Howard, dau. of 5th E. of Carlisle; FSA 1794; FRS 1795; cr. B. Cawdor 1796.	CAMPBELL, COL. JOHN	Col. John Campbell
783	CAMPBELL, SARAH (IZARD), LADY WILLIAM (d. 1784), dau. and h. of Ralph Izard of Mainspring Plantation, St George's, Pa.; m. 1763 Ld. William Campbell (d. 1778), 4th s. of 4th D. of Argyll [S] ; see Anne Damer.	CAMPBELL, SARAH	Sarah Campbell
784	CAMPBELL	CAMPBELL	Campbell
785	CAMPION, H., possibly Henry Campion, c.1680-1761, s. of William Campion of Combwell; m. Barbara Courthorpe of Danny, Sx.; MP 1713.	CAMPION, H., possibly Henry Campion, c.1680-1761, s. of William Campion of Combwell	H. Campion
786	CAMPION, merchant, see William Bates	CAMPION, merchant	Campion
787	CANNING, FRANCIS (1745-1806), s. of Francis Canning, of Foxcote, War; m. Catherine Giffard (b. 1734).	CANNING, FRANCIS	Francis Canning
788	CANTILION	CANTILION	Cantilion
789	CANTILLION	CANTILLION	Cantillion
790	CANTILLON, RICHARD (1680-1734), banker and economist, s. of Cantillon of Ballyheige, co.Kerry; took over his relative Richard Cantillon's financial house in Paris 1717; m. 1722 Mary Anne Mahony (d.1751), dau. of an Irish merchant in Paris (she m. 2 Francis, comte de Bulkeley); murdered by a servant 1734; author of Essai sur la nature du commerce en général [1755].	CANTILLON, RICHARD	Richard Cantillon
791	CAPEL, CAPT. JONATHAN	CAPEL, CAPT. JONATHAN	Capt. Jonathan Capel
792	CAPEL, painter	CAPEL, painter	Capel
793	CAPELL, NATHANIEL (d. 1744), merchant.	CAPELL, NATHANIEL	Nathaniel Capell
794	CAPITHORNE	CAPITHORNE	Capithorne
795	CARDER, MRS	CARDER, MRS	Mrs Carder
796	CARDIGAN, 3RD EARL OF, see George, Lord Brudenell	CARDIGAN, 3RD EARL OF	3rd Earl Of Cardigan
797	CARGIL, see Lord Archibald Hamilton	CARGIL	Cargil
798	CARHAMPTON, 1ST EARL OF, see Simon Luttrell	CARHAMPTON, 1ST EARL OF	1st Earl Of Carhampton
799	CARLETON, THOMAS (c.1732-1817), 4th s. of Christopher Carleton of Newry, Co. Down; army officer, capt. 20 Ft. 1759, lt.-col. 1776, col. 1782, gen. 1801; m. 1782 Hannah Foy; gov. of New Brunswick 1784; returned to England c.1803.	CARLETON, THOMAS	Thomas Carleton
800	CARLETON, CAPT.	CARLETON, CAPT.	Capt. Carleton
801	CARLISLE, FREDERICK HOWARD, 5TH EARL OF (1748-1825), only surv. s. of 4th E. of Carlisle; suc. fa. 1758 as 5th E.; educ. Eton and King's Camb. 1764; Dilettanti 1767; KT 1767; m. 1770 Ldy. Margaret Leveson-Gower, dau. of 1st M. of Stafford; KG 1793.	CARLISLE, FREDERICK HOWARD, 5TH EARL OF	Frederick Howard, 5th Earl Of Carlisle
802	CARLISLE, 6TH EARL OF, see George, Viscount Morpeth	CARLISLE, 6TH EARL OF	6th Earl Of Carlisle
803	CARLISLE, HENRY HOWARD, 4TH EARL OF (1694-1758), 1st s. of 3rd E. of Carlisle; sty. Vct. Morpeth -1738 when suc. fa. as 4th E.; educ. Eton and Trin. Camb. 1711; MP 1715-38; m. 1 1717 Ldy. Frances Spencer (d. 1742), dau. of 2nd E. of Sunderland, 2 1743 Hon. Isabella Byron, dau. of 4th B. Byron (see Isabella, Cts. of Carlisle); KG 1756.	CARLISLE, HENRY HOWARD, 4TH EARL OF	Henry Howard, 4th Earl Of Carlisle
804	CARLISLE, ISABELLA (BYRON), COUNTESS OF (1721-95), dau. of the 4th B. Byron; m. 1 1743 4th E. of Carlisle (d. 1758), 2 1759 Sir William Musgrave (diss. c.1761).	CARLISLE, ISABELLA	Isabella Carlisle
805	CARLYLE, JOSEPH DACRE (1759-1804), s. of George Carlyle, phys. of Carlisle; Christ's and Queens' Camb., BA 1779; ord.1782; BD 1793; prof. of arabic, 1795-1804.	CARLYLE, JOSEPH DACRE	Joseph Dacre Carlyle
806	CARMARTHEN, FRANCIS GODOLPHIN OSBORNE, MARQUESS OF (1751-99), o. surv. s. of 4th D. of Leeds; sty. M. of Carmarthen 1761-89 when suc. fa. as 5th D.; educ. Westminster and Ch.Ch. Oxf. 1767; FRS 1773; m. 1 1773 Ldy. Amelia Darcy, dau. of 4th E. of Holderness (diss. 1779), 2 1788 Catherine Anguish; MP 1774-5; Dilettanti 1774; FSA 1776; amb. to Paris 1783; KG 1790.	CARMARTHEN, FRANCIS GODOLPHIN OSBORNE, MARQUESS OF	Francis Godolphin Osborne, Marquess Of Carmarthen
